value,type,notes
ciagov.cfd,hostname,Impersonates CIA
ciagov.icu,hostname,Impersonates CIA
ciagov.info,hostname,Impersonates CIA
ciagov.live,hostname,Impersonates CIA
ciagov.ltd,hostname,Impersonates CIA
ciagov.ru,hostname,Impersonates CIA
ciagov.agency,hostname,Impersonates CIA
ciaform.com,hostname,Impersonates CIA
ciacontact.com,hostname,Impersonates CIA
ciacontactofficial.com,hostname,Impersonates CIA
ciacontactru.com,hostname,Impersonates CIA
ciacontacts.com,hostname,Impersonates CIA
ciarucontacts.com,hostname,Impersonates CIA
contact-cia.com,hostname,Impersonates CIA
contactcia.com,hostname,Impersonates CIA
reportcia.com,hostname,Impersonates CIA
ciadotgov4sjwlzihbbgxnqg3xiyrg7so2r2o3lt5wz5ypk4sxyjstad1.com,hostname,Impersonates CIA
ciadotgov4sjwlzihbbgxnqg3xiyrg7so2r2o3lt5wz5ypk4sxyjstad-onion.net,hostname,Impersonates CIA
ciagovlgmxiyo7qapr6km536svznpsygmqdeen5hpg5xce7b4zav54ad.onion,hostname,Impersonates CIA
legionlibertys.army,hostname,Impersonates Freedom of Russia Legion
legiohliberty.army,hostname,Impersonates Freedom of Russia Legion
legion-liberty.com,hostname,Impersonates Freedom of Russia Legion
legion-libertys.com,hostname,Impersonates Freedom of Russia Legion
legioncontact.com,hostname,Impersonates Freedom of Russia Legion
legionliberty.cc,hostname,Impersonates Freedom of Russia Legion
legionliberty.com,hostname,Impersonates Freedom of Russia Legion
legionliberty.icu,hostname,Impersonates Freedom of Russia Legion
legionliberty.org,hostname,Impersonates Freedom of Russia Legion
legionliberty.top,hostname,Impersonates Freedom of Russia Legion
legionliberty.world,hostname,Impersonates Freedom of Russia Legion
legionlibertyfree.com,hostname,Impersonates Freedom of Russia Legion
legionlibertyready.com,hostname,Impersonates Freedom of Russia Legion
legionlibertyrf.ru,hostname,Impersonates Freedom of Russia Legion
legionlibertys.cc,hostname,Impersonates Freedom of Russia Legion
legionllberty.army,hostname,Impersonates Freedom of Russia Legion
legionsliberty.com,hostname,Impersonates Freedom of Russia Legion
legionsliberty.army,hostname,Impersonates Freedom of Russia Legion
libertylegion.cc,hostname,Impersonates Freedom of Russia Legion
legionliberty.info,hostname,Impersonates Freedom of Russia Legion
libertylegion.army,hostname,Impersonates Freedom of Russia Legion
legionliberty.agency,hostname,Impersonates Freedom of Russia Legion
legionliberty.xyz,hostname,Impersonates Freedom of Russia Legion
legion-svoboda.com,hostname,Impersonates Freedom of Russia Legion
legion-svobodi.com,hostname,Impersonates Freedom of Russia Legion
legionlibertys.ru,hostname,Impersonates Freedom of Russia Legion
legionliberty.space,hostname,Impersonates Freedom of Russia Legion
xn-----7kcdeekd2agaz3andbd9alja.com,hostname,Impersonates Freedom of Russia Legion
rdk.social,hostname,Impersonates Russian Volunteer Corps
ruvolcor.com,hostname,Impersonates Russian Volunteer Corps
rdk-contact.com,hostname,Impersonates Russian Volunteer Corps
rdk-official.com,hostname,Impersonates Russian Volunteer Corps
rdkcontact.com,hostname,Impersonates Russian Volunteer Corps
rusdk.com,hostname,Impersonates Russian Volunteer Corps
rusdk.org,hostname,Impersonates Russian Volunteer Corps
russvolcorp.com,hostname,Impersonates Russian Volunteer Corps
rusvoicorps.org,hostname,Impersonates Russian Volunteer Corps
rusvokcorps.cc,hostname,Impersonates Russian Volunteer Corps
rusvokcorps.com,hostname,Impersonates Russian Volunteer Corps
rusvolcorp.com,hostname,Impersonates Russian Volunteer Corps
rusvolcorp.net,hostname,Impersonates Russian Volunteer Corps
rusvolcorps.co,hostname,Impersonates Russian Volunteer Corps
rusvolcorps.icu,hostname,Impersonates Russian Volunteer Corps
rusvolcorps.net,hostname,Impersonates Russian Volunteer Corps
rusvolcorps.ru,hostname,Impersonates Russian Volunteer Corps
rusvolcorpus.com,hostname,Impersonates Russian Volunteer Corps
rusvolscorp.com,hostname,Impersonates Russian Volunteer Corps
rusvolscorps.com,hostname,Impersonates Russian Volunteer Corps
rusvoluntarycorps.com,hostname,Impersonates Russian Volunteer Corps
rusvokcorps.icu,hostname,Impersonates Russian Volunteer Corps
rdk-svoboda.com,hostname,Impersonates Russian Volunteer Corps
rdk-svobodi.com,hostname,Impersonates Russian Volunteer Corps
rusvolcrops.com,hostname,Impersonates Russian Volunteer Corps
rusvolcrops.net,hostname,Impersonates Russian Volunteer Corps
rusvokcorps.ru,hostname,Impersonates Russian Volunteer Corps
hochyzhyt.com,hostname,Impersonates I Want To Live
hochyzhit.com,hostname,Impersonates I Want To Live
hochuzhitlife.com,hostname,Impersonates I Want To Live
hochuzhit.life,hostname,Impersonates I Want To Live
hochuzhits.com,hostname,Impersonates I Want To Live
hochuzhit.tech,hostname,Impersonates I Want To Live
jagotovoff.com,hostname,GlobaLeaks deployment by same actor (likely impersonation / spear phishing)
jagotov.icu,hostname,GlobaLeaks deployment by same actor (likely impersonation / spear phishing)
